nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
ELECTRÓNICA CLARION,ELECTRONICA CLARION,334310,Fabricación de equipo de audio y de video,251 y más personas,San Juan del Río,Querétaro,VALLE DE ORO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ELICAMEX,ELICAMEX,335210,Fabricación de enseres electrodomésticos menores,251 y más personas,Querétaro,Querétaro,QUERETARO,,WWW.ELICA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EMZ HANAUER DE MEXICO,EMZ HANAUER DE MEXICO,335220,Fabricación de aparatos de línea blanca,251 y más personas,El Marqués,Querétaro,EL MARQUES,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EQ STAMPI,EQUSA,333510,Fabricación de maquinaria y equipo para la industria metalmecánica,101 a 250 personas,Huimilpan,Querétaro,PYME,5554059788,EQUSA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
EUROTRANCIATURA MEXICO,EUROTRANCIATURA MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,Querétaro,Querétaro,QUERETARO,4421791015,WWW.MX-EUROTRANCIATURA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FABRICA DE PEZAS PARA VEICULOS SHANGHAI AUTOMOVILE AIR CONDITONER ACCESORIES DE MEXICO,SHANGHAI AUTOMOVILE AIR CONDITONER ACCESORIES DE MEXICO,334410,Fabricación de componentes electrónicos,101 a 250 personas,El Marqués,Querétaro,VIE VERTE QUERETARO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
"FABRICACIÓN DE ALAMBRE, PRODUCTOS DE ALAMBRE Y RESORTES SIN NOMBRE",,332610,"Fabricación de alambre, productos de alambre y resortes",101 a 250 personas,El Marqués,Querétaro,O DONNELL AEROPUERTO,,WWW.LIBERTYSPRING.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FABRICANTES LAZZI DE MEXICO,FABRICANTES LAZZI DE MEXICO,337120,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",101 a 250 personas,Tequisquiapan,Querétaro,COMUNIDAD BORDO BLANCO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FAMEP,FAMEP,332310,Fabricación de estructuras metálicas,101 a 250 personas,San Juan del Río,Querétaro,PUERTA DE PALMILLAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FANASA,FANASA,332110,Fabricación de productos metálicos forjados y troquelados,101 a 250 personas,El Marqués,Querétaro,ODONNELL AEROPUERTO INTERNACIONAL QUERETARO FASE 5,,WWW.FANASA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO,FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,101 a 250 personas,Querétaro,Querétaro,BENITO JUAREZ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FEDERAL MOGUL SP MEXICO,FEDERAL MOGUL SP MEXICO,336390,Fabricación de otras partes para vehículos automotrices,101 a 250 personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,,WWW.TENNECO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FEG DE QUERETARO,FEG DE QUERETARO,332110,Fabricación de productos metálicos forjados y troquelados,251 y más personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,4424113149,WWW.FEGQ.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FGR PROYECTOS INTEGRALES E INDUSTRIALES,FGR PROYECTOS INTEGRALES E INDUSTRIALES,332310,Fabricación de estructuras metálicas,251 y más personas,Querétaro,Querétaro,COLINAS DE SANTA CRUZ,,WWW.FGRPROYECTOS.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FORSCHNER MEXICO,FORSCHNER MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,101 a 250 personas,El Marqués,Querétaro,PARQUE TECNOLOGICO INNOVACION QUERETARO,4425615849,WWW.FORSCHNER.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FRENOS Y MECANISMOS,FRENOS Y MECANISMOS,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FRENOS Y MECANISMOS,FRENOS Y MECANISMOS,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Querétaro,Querétaro,QUERETARO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FRENOS Y MECANISMOS,FRENOS Y MECANISMOS,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Colón,Querétaro,PARQUE INDUSTRIAL AEROPUERTO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FRIGUS BOHN,FRIGUS BOHN,333412,Fabricación de equipo de refrigeración industrial y comercial,251 y más personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.BOHN.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
FULLTECH CASTING DE MEXICO,FULLTECH CASTING DE MEXICO,333510,Fabricación de maquinaria y equipo para la industria metalmecánica,251 y más personas,El Marqués,Querétaro,PARQUE INDUSTRIAL LA BOMBA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GALNIK,GALNIK,332810,Recubrimientos y terminados metálicos,101 a 250 personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.GALNIK.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GG CABLES AND WIRES MÉXICO,GG CABLES AND WIRES MEXICO,334410,Fabricación de componentes electrónicos,251 y más personas,San Juan del Río,Querétaro,NUEVO SAN JUAN,,WWW.GRILLER.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GG MANUFACTURING,GG MANUFACTURING,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,101 a 250 personas,Querétaro,Querétaro,BENITO JUAREZ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GLN MEXICO,GLN MEXICO,333242,Fabricación de maquinaria y equipo para la industria del hule y del plástico,101 a 250 personas,Colón,Querétaro,PARQUE INDUSTRIAL AEROPUERTO QUERETARO,4422006879,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GOTEC AUTOMOTIVE MEXICO,GOTEC AUTOMOTIVE MEXICO,332810,Recubrimientos y terminados metálicos,101 a 250 personas,Colón,Querétaro,PARQUE INDUSTRIAL AEROPUERTO QUERETARO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRAMMER AUTOMOTIVE PUEBLA,GRAMMER AUTOMOTIVE PUEBLA,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,Querétaro,Querétaro,BENITO JUÁREZ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRC AUTOPARTES,RIDE CONTROL MEXICANA,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,251 y más personas,El Marqués,Querétaro,O DONNELL AEROPUERTO,,WWW.GRCAUTOPARTES.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GREENKOTE,INDUSTRIAL POWDER COATINGS DE MEXICO,332810,Recubrimientos y terminados metálicos,101 a 250 personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,4423454571,WWW.GREENKOTE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO AMERISTEEL,GRUPO AMERISTEEL,332310,Fabricación de estructuras metálicas,251 y más personas,Querétaro,Querétaro,MILENIO I I I,5588061872,WWW.GRUPOAMERISTEEL.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO ETU,ESPECIALISTAS EN TURBOPARTES,332710,Maquinado de piezas metálicas para maquinaria y equipo en general,101 a 250 personas,Querétaro,Querétaro,INDUSTRIAL SAN PEDRITO PEÑUELAS,,WWW.ETU.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GRUPO MANUFACTURERO INDUSTRIAL GMI,GRUPO MANUFACTURERO INDUSTRIAL GMI,332310,Fabricación de estructuras metálicas,101 a 250 personas,San Juan del Río,Querétaro,VALLE DE ORO,5512886596,WWW.GMI.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
GUHRING MEXICANA,GUHRING MEXICANA,333510,Fabricación de maquinaria y equipo para la industria metalmecánica,251 y más personas,El Marqués,Querétaro,PARQUE TECNOLOGICO INNOVACION,,WWW.GUHRINGMEXICANA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HARADA INDUSTRIES MEXICO,HARADA INDUSTRIES MEXICO,334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico",251 y más personas,San Juan del Río,Querétaro,VALLE DE ORO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HARMAN DE MEXICO,HARMAN DE MEXICO,334310,Fabricación de equipo de audio y de video,251 y más personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,,WWW.HARMAN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HARMAN DE MEXICO,HARMAN DE MEXICO,334310,Fabricación de equipo de audio y de video,251 y más personas,Querétaro,Querétaro,QUERETARO,,WWW.HARMAN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HATCH STAMPING DE MEXICO,HATCH STAMPING DE MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,101 a 250 personas,El Marqués,Querétaro,EL MARQUES,,WWW.HATCHSTAMPING.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HAYAKAWA ELECTRONICS DE MEXICO,HAYAKAWA ELECTRONICS DE MEXICO,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.HAYAKAWAMEXICO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HC QUERETARO,HC QUERETARO,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,El Marqués,Querétaro,EL MARQUES,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HI LEX MEXICANA,HI-LEX MEXICANA,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Querétaro,Querétaro,AV PEÑUELAS,,WWW.HI-LEX.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HI LEX MEXICANA,HI-LEX MEXICANA,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,El Marqués,Querétaro,EL MARQUES,,WWW.HI-LEX.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HIRSCHVOGEL COMPONENTS MEXICO,HIRSCHVOGEL COMPONENTS MEXICO,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores,251 y más personas,San Juan del Río,Querétaro,NUEVO PARQUE INDUSTRIAL,,WWW.HIRSCHVOGEL.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HK DA,HK DA,333412,Fabricación de equipo de refrigeración industrial y comercial,101 a 250 personas,Querétaro,Querétaro,SANTA  ROSA DE JAUREGUI,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HK DONG A,HK DONG A,334410,Fabricación de componentes electrónicos,251 y más personas,Huimilpan,Querétaro,PYME,5540848314,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
HYUNBO,HYUNBO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,El Marqués,Querétaro,LA NORIA,4423514932,WWW.HYUNBO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
IMBERA,IMBERA,333412,Fabricación de equipo de refrigeración industrial y comercial,251 y más personas,San Juan del Río,Querétaro,VALLE DE ORO,4271632163,WWW.IMBERACOOLING.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
IMM INOX MARKET MESSICO,IMM INOX MARKET MESSICO,332810,Recubrimientos y terminados metálicos,101 a 250 personas,Querétaro,Querétaro,QUERETARO,,WWW.INOXMARKETMESSICO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INDUSTRIAS MONTACARGAS CROWN,INDUSTRIAS MONTACARGAS,333920,Fabricación de maquinaria y equipo para levantar y trasladar,251 y más personas,Querétaro,Querétaro,INDUSTRIAL BENITO JUAREZ,4423240786,WWW.CROWN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INDUSTRIAS MONTACARGAS CROWN,INDUSTRIAS MONTACARGAS,333920,Fabricación de maquinaria y equipo para levantar y trasladar,251 y más personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,4423240786,WWW.CROWN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INDUSTRIAS MONTACARGAS CROWN,INDUSTRIAS MONTACARGAS,333920,Fabricación de maquinaria y equipo para levantar y trasladar,101 a 250 personas,Querétaro,Querétaro,POLIGONO EMPRESARIAL SANTA ROSA JAUREGUI,4423240786,WWW.CROWN.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INDUX,INDUX,332999,Fabricación de otros productos metálicos,251 y más personas,El Marqués,Querétaro,AGROINDUSTRIAL LA CRUZ,5530175288,WWW.INDUX.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INLAND TRAILER,INLAND TRAILER,336210,Fabricación de carrocerías y remolques,101 a 250 personas,El Marqués,Querétaro,EL MARQUES,,WWW.INLANDTRAILERS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INTEGRITY TOOL AND MOLD DE MEXICO,INTEGRITY TOOL AND MOLD DE MEXICO,333510,Fabricación de maquinaria y equipo para la industria metalmecánica,251 y más personas,El Marqués,Querétaro,PARQUE INDUSTRIAL EL MARQUÉS,,WWW.INTEGRITYTOOLANDMOLD.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
INYECCIONES Y SOPLADO KOMPALKA,INYECCIONES Y SOPLADO KOMPALKA,333242,Fabricación de maquinaria y equipo para la industria del hule y del plástico,251 y más personas,Querétaro,Querétaro,MONTENEGRO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
IRIZAR MEXICO,IRIZAR MEXICO,336120,Fabricación de camiones y tractocamiones,251 y más personas,El Marqués,Querétaro,BERNARDO QUINTANA,4422732914,WWW.IRIZAR.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ISHIMITSU INDUSTRY MEXICO,ISHIMITSU INDUSTRY MEXICO,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,101 a 250 personas,Querétaro,Querétaro,QUERETARO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ITA,INDUSTRIA DE TUBERIAS AERONAUTICAS DE MEXICO,336410,Fabricación de equipo aeroespacial,251 y más personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.ITPAERO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ITP INGENIERIA Y FABRICACION,ITP INGENIERIA Y FABRICACION,336410,Fabricación de equipo aeroespacial,251 y más personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.ITPAERO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ITP MEXICO FABRICACION,ITP MEXICO FABRICACION,336410,Fabricación de equipo aeroespacial,251 y más personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.ITPAEREO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
JAZA INGENIERIA,JAZA INGENIERIA,332310,Fabricación de estructuras metálicas,101 a 250 personas,El Marqués,Querétaro,TECNOLOGICO INNOVACION,4421229417,WWW.JAZA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
JB TECNICS MEXICO,JB TECNICS MEXICO,339112,Fabricación de material desechable de uso médico,101 a 250 personas,El Marqués,Querétaro,EL MARQUES,4422431244,WWW.GROUPEJBT.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
JOHNSON MATTHEY DE MÉXICO,JOHNSON MATTHEY DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,El Marqués,Querétaro,BERNARDO QUINTANA,,WWW.MATTHEY.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KERN LIEBERS MEXICO,KERN LIEBERS MEXICO,332110,Fabricación de productos metálicos forjados y troquelados,251 y más personas,El Marqués,Querétaro,O DONNELL AEROPUERTO,,WWW.KERN-LIEBERS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KIM TECK,KIM TECK,331510,Moldeo por fundición de piezas de hierro y acero,251 y más personas,Querétaro,Querétaro,QUERETARO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KIRCHHOFF AUTOMOTIVE MEXICO,KIRCHHOFF AUTOMOTIVE MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,Querétaro,Querétaro,QUERETARO,,WWW.KIRCHHOFF-AUTOMOTIVE.COM/ES,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KOSTAL,KOSTAL ELECTRO MOBILITY MEXICANA,334410,Fabricación de componentes electrónicos,101 a 250 personas,Querétaro,Querétaro,PARQUE INDUSTRIAL FINSA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KOSTAL MEXICANA,KOSTAL MEXICANA,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,101 a 250 personas,Querétaro,Querétaro,QUERETARO,,WWW.KOSTAL-KONTAKT-SYSTEME.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KOSTAL MEXICANA,KOSTAL MEXICANA,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,Querétaro,Querétaro,INDUSTRIAL BENITO JUAREZ,,WWW.KOSTAL-KONTAKT-SYSTEME.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KSB DE MEXICO,KSB DE MEXICO,333910,Fabricación de bombas y sistemas de bombeo,101 a 250 personas,Querétaro,Querétaro,PEÑUELAS,,WWW.KSB.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
KURASHIKI KAKO MEXICANA,KURASHIKI KAKO MEXICANA,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,101 a 250 personas,Querétaro,Querétaro,QUERÉTARO,4423155152,WWW.KURASHI.COM.JP,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
LAMTEC MEXICO,LAMTEC MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,101 a 250 personas,El Marqués,Querétaro,TECNOLOGICO INNOVACION,,WWW.LAMLTD.CA,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
LAUAK AEROSPACE MEXICO,LAUAK AEROSPACE MEXICO,336410,Fabricación de equipo aeroespacial,101 a 250 personas,El Marqués,Querétaro,VYNMSA QUERETARO INDUSTRIAL PARK,4425003013,WWW.LAUARK.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
LBQ FOUNDRY,LBQ FOUNDRY,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,251 y más personas,Querétaro,Querétaro,BENITO JUAREZ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
LG,LG INNOTEK MEXICO,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,251 y más personas,San Juan del Río,Querétaro,SAN JUAN,,WWW.LGINNOTEK.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MACOSA,MANUFACTURAS Y ALEACIONES DE COBRE,333991,Fabricación de equipo para soldar y soldaduras,101 a 250 personas,Querétaro,Querétaro,BENITO JUAREZ,,WWW.MACOSA.ORG,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MAGNA LIGHTING,OLSA SISTEMAS DE ILUMINACION AUTOMOTRIZ,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,251 y más personas,El Marqués,Querétaro,SANTA MARIA MAGDALENA,4423442205,WWW.MAGNA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MALASA MEX CONTRACT,MALASA MEX CONTRACT,337210,Fabricación de muebles de oficina y estantería,101 a 250 personas,El Marqués,Querétaro,BERNARDO QUINTANA,,WWW.MALASA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MANN HUMMEL MEXICO,MANN HUMMEL MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Querétaro,Querétaro,PARQUE INDUSTRIAL QUERETARO,4423718585,WWW.MANNHUMMEL.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MARCEGAGLIA MEXICO,MARCEGAGLIA MEXICO,335220,Fabricación de aparatos de línea blanca,251 y más personas,Corregidora,Querétaro,INDUSTRIAL BALVANERA,,WWW.MARCEGAGLIA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MARTINREA HONSEL MEXICO,MARTINREA HONSEL MEXICO,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,Querétaro,Querétaro,QUERETARO,4421865680,WWW.MARTINREA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MARTINREA HONSEL MEXICO,MARTINREA HONSEL MEXICO,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices,251 y más personas,Querétaro,Querétaro,QUERETARO,4421865680,WWW.MARTINREA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MEGGITT AIRCRAFT BRAKING SYSTEMS QUERETARO,MEGGITT AIRCRAFT BRAKING SYSTEMS QUERETARO,336410,Fabricación de equipo aeroespacial,101 a 250 personas,Colón,Querétaro,PARQUE AEROESPACIAL DE QUERETARO,,WWW.MEGGITT.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MEI QUERETARO,MEI QUERETARO,334410,Fabricación de componentes electrónicos,251 y más personas,El Marqués,Querétaro,FINSA,,WWW.CRANEPI.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
MELECS ELECTRONICS QUERETARO,MELECS ELECTRONICS QUERETARO,334410,Fabricación de componentes electrónicos,251 y más personas,Corregidora,Querétaro,INDUSTRIAL BALVANERA,5527326548,WWW.MELECS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
METALICOS ALPUNTO,METALICOS ALPUNTO,332999,Fabricación de otros productos metálicos,251 y más personas,San Juan del Río,Querétaro,VALLE DE ORO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
METELIX,METELIX DE MEXICO,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,Huimilpan,Querétaro,SAN ANTONIO LA GALERA,4422075681,WWW.METELIXPRODUCTS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20),
