nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
CALZADO TROPICANA,CALZADO GRISMAR,316213,Fabricación de calzado de plástico,251 y más personas,León,Guanajuato,CIUDAD INDUSTRIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO TUXWUA,CALZADO TUXUWUA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,SAN MIGUEL,4776433256,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO VELMAR,CALZADO VELMAR,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD INDUSTRIAL,,WWW.BIGAPPEL.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO VENTO,FOOTWEAR CRAFTER,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIUDAD SATÉLITE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO VIALI,CALZADO VIALI,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,OBREGÓN,,WWW.CALZADOVIALI.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CAROLINA PERFORMANCE FABRICS,CAROLINA PERFORMANCE FABRICS,313210,Fabricación de telas anchas de tejido de trama,251 y más personas,Salvatierra,Guanajuato,CENTRO,,WWW.GRUPOCAROLINA.COM-MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CARTIGLIANO DE MEXICO,CARTIGLIANO DE MEXICO,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,INDUSTRIAL PAMPLONA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CENTRAL INDUSTRIALIZADORA DE CÁRNICOS DEL BAJÍO,CENTRAL INDUSTRIALIZADORA DE CARNICOS DEL BAJIO,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,Pénjamo,Guanajuato,PALO ALTO DE ABAJO,,WWW.GRANJEROFELIZ.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CEREALES Y PASTAS,CEREALES Y PASTAS,311230,Elaboración de cereales para el desayuno,251 y más personas,Celaya,Guanajuato,CIUDAD INDUSTRIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CHAMPIÑONES SAN MIGUEL,CHAMPIÑONES SAN MIGUEL,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,San Miguel de Allende,Guanajuato,LAS ARBOLEDAS,,WWW.CHAMPINONESSANMIGUEL.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CHRISTIAN GALLERY,AMO LA MODA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,PRO. NORTE SAN ISIDRO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CLIFF AND COMPANY,CLIFF AND COMPANY,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Purísima del Rincón,Guanajuato,JARDINES DE PURISIMA,4761231752,WWW.CLIFF.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COLOR IN,INDUSTRIAS COLOR IN,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMANDO,COMANDO,316213,Fabricación de calzado de plástico,251 y más personas,León,Guanajuato,SAN JUAN DE DIOS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMERCIALIZADORA COLORADO 5280,COMERCIALIZADORA COLORADO 5280,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,4771145705,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMERCIALIZADORA COLOSO,COMERCIALIZADORA COLOSO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,WWW.COLOSO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMERCIALIZADORA DE LACTEOS Y DERIVADOS,COMERCIALIZADORA DE LACTEOS Y DERIVADOS,311511,Elaboración de leche líquida,251 y más personas,Irapuato,Guanajuato,CIUDAD INDUSTRIAL IRAPUATO,,WWW.INTRANETLALA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMERCIALIZADORA WATSON,DESARROLLO Y DISEÑO DE CALZADO DE VANGUARDIA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COMPAÑIA MANUFACTURERA ASTURIAS,COMPAÑIA MANUFACTURERA ASTURIAS,311222,Elaboración de aceites y grasas vegetales comestibles,251 y más personas,Celaya,Guanajuato,SAN ISIDRO DE LA CONCEPCIÓN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONAGRA FOODS MEXICO,CONAGRA FOODS MEXICO,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,Irapuato,Guanajuato,ESFUERZO OBRERO,,WWW.CONAGRABRANDS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONCURMEX,CONCURMEX,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,SAN AGUSTÍN,,WWW.CONCURMEX.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONFECCIONES MODA PIEL,CONFECCIONES MODA PIEL,315210,"Confección de prendas de vestir de cuero, piel y de materiales sucedáneos",101 a 250 personas,León,Guanajuato,SAN NICOLAS,,WWW.MODAPIEL.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONGELADORA NIÑO,CONGELADORA NIÑO,311411,Congelación de frutas y verduras,251 y más personas,Irapuato,Guanajuato,LAS CARMELITAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CONGELADOS LA HACIENDA,CONGELADOS LA HACIENDA,311411,Congelación de frutas y verduras,101 a 250 personas,Silao de la Victoria,Guanajuato,CHICHIMEQUILLAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CORPORATIVO MANUFACTURERO DE CALZADO ARIES,CORPORATIVO MANUFACTURERO DE CALZADO ARIES,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,SAN MANUEL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CORTES PARA CALZADO,CORTES PARA CALZADO,316213,Fabricación de calzado de plástico,101 a 250 personas,San Francisco del Rincón,Guanajuato,DE GUADALUPE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
COTEXCA,COTEXCA,313320,Fabricación de telas recubiertas,101 a 250 personas,León,Guanajuato,LOS ARCOS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
