no,nombre_instalacion,estado,tipo_certificado
172,"CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES, S. DE R.L. DE C.V., PLANTA RAMOS ARIZPE II",Coahuila,Industria Limpia
173,"CFE DISTRIBUCIÓN, GERENCIA DE DISTRIBUCIÓN PENINSULAR, ZONA CAMPECHE, SUBESTACIÓN CANDELARIA II",Campeche,Calidad Ambiental
174,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA GUAYMAS, SUBESTACIÓN CENTINELA",Sonora,Calidad Ambiental
175,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA GUAYMAS, SUBESTACIONES FÁTIMA, EMPALME, MORELOS Y SAN CARLOS",Sonora,Calidad Ambiental
176,"BIMBO, S.A. DE C.V. PLANTA MARINELA MÉXICO",Distrito Federal,Industria Limpia
177,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA NOGALES, SUBESTACIONES AGUA PRIETA Y NOGALES",Sonora,Calidad Ambiental
178,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA OBREGÓN SUBESTACIONES VALLE DEL YAQUI, VALLE DEL YAQUI DOS, VICAM Y BANDERAS",Sonora,Calidad Ambiental
179,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CABORCA, SUBESTACIONES ANTIMONIO, SAHUARO Y LLANO BLANCO",Sonora,Calidad Ambiental
180,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA OBREGÓN, SUBESTACIONES OBREGÓN UNO Y CIUDAD OBREGÓN DOS",Sonora,Calidad Ambiental
181,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA GUASAVE, SUBESTACIONES HERNANDO VILLAFAĄE Y LEYVA SOLANO",Sinaloa,Calidad Ambiental
182,"MULTIPAK, S.A. DE C.V., PLANTA TLAXCALA",Tlaxcala,Industria Limpia
